Atomic number;Symbol;Element;Element (native language);Group;Period;Atomic weight (u(±));Density (g/cm³);Melt (K);Boil (K);Heat capacity (J/K);Electronegativity;Oxidation states
1;H;Hydrogen;Водород;1;1;1.008;0.00008988;14,01;20,28;14,304;2,20;[-1] 0 [1]
2;He;Helium;Гелий;18;1;4,002602;0,0001785;–;4,22;5,193;–;0
3;Li;Lithium;Литий;1;2;6,94;0,534;453,69;1560;3,582;0,98;0 [1]
4;Be;Beryllium;Бериллий;2;2;9,0121831;1,85;1560;2742;1,825;1,57;0 1 [2]
5;B;Boron;Бор;13;2;10,81;2,34;2349;4200;1,026;2,04;-5 -1 0 1 2 [3]
6;C;Carbon;Углерод;14;2;12,011;2,267;3800;4300;0,709;2,55;[-4] [-3] [-2] [-1] 0 [1] [2] [3] [4]
7;N;Nitrogen;Азот;15;2;14,007;0,0012506;63,15;77,36;1,04;3,04;[-3] -2 -1 0 1 2 [3] 4 [5]
8;O;Oxygen;Кислород;16;2;15,999;0,001429;54,36;90,2;0,918;3,44;[-2] -1 0 1 2
9;F;Fluorine;Фтор;17;2;18,99840316;0,001696;53,53;85,03;0,824;3,98;[-1] 0
10;Ne;Neon;Неон;18;2;20,1797;0,0008999;24,56;27,07;1,03;–;0
11;Na;Sodium;Натрий;1;3;22,98976928;0,971;370,87;1156;1,228;0,93;-1 0 [1]
12;Mg;Magnesium;Магний;2;3;24,305;1,738;923;1363;1,023;1,31;0 1 [2]
13;Al;Aluminium;Алюминий;13;3;26,9815385;2,698;933,47;2792;0,897;1,61;-2 -1 0 1 2 [3]
14;Si;Silicon;Кремний;14;3;28,085;2,3296;1687;3538;0,705;1,9;[-4] -3 -2 -1 0 1 2 3 [4]
15;P;Phosphorus;Фосфор;15;3;30,973762;1,82;317,3;550;0,769;2,19;[-3] -2 -1 0 1 2 [3] 4 [5]
16;S;Sulfur;Сера;16;3;32,06;2,067;388,36;717,87;0,71;2,58;[-2] -1 0 1 [2] 3 [4] 5 [6]
17;Cl;Chlorine;Хлор;17;3;35,45;0,003214;171,6;239,11;0,479;3,16;[-1] 0 [1] 2 [3] 4 [5] 6 [7]
18;Ar;Argon;Аргон;18;3;39,948;0,0017837;83,8;87,3;0,52;–;0
19;K;Potassium;Калий;1;4;39,0983;0,862;336,53;1032;0,757;0,82;-1 0 [1]
20;Ca;Calcium;Кальций;2;4;40,078;1,54;1115;1757;0,647;1;0 1 [2]
21;Sc;Scandium;Скандий;3;4;44,955908;2,989;1814;3109;0,568;1,36;0 1 2 [3]
22;Ti;Titanium;Титан;4;4;47,867;4,54;1941;3560;0,523;1,54;-2 -1 0 1 2 3 [4]
23;V;Vanadium;Ванадий;5;4;50,9415;6,11;2183;3680;0,489;1,63;-3 -1 0 1 2 3 4 [5]
24;Cr;Chromium;Хром;6;4;51,9961;7,15;2180;2944;0,449;1,66;-4 -2 -1 0 1 2 [3] 4 5 [6]
25;Mn;Manganese;Марганец;7;4;54,938044;7,44;1519;2334;0,479;1,55;-3 -2 -1 0 1 [2] 3 [4] 5 6 [7]
26;Fe;Iron;Железо;8;4;55,845;7,874;1811;3134;0,449;1,83;-4 -2 -1 0 1 [2] [3] 4 5 [6] 7
27;Co;Cobalt;Кобальт;9;4;58,933194;8,86;1768;3200;0,421;1,88;-3 -1 0 1 [2] [3] 4 5
28;Ni;Nickel;Никель;10;4;58,6934;8,912;1728;3186;0,444;1,91;-2 -1 0 1 [2] 3 4
29;Cu;Copper;Медь;11;4;63,546;8,96;1357,77;2835;0,385;1,9;-2 0 1 [2] 3 4
30;Zn;Zinc;Цинк;12;4;65,38;7,134;692,88;1180;0,388;1,65;-2 0 1 [2]
31;Ga;Gallium;Галлий;13;4;69,723;5,907;302,9146;2673;0,371;1,81;-5 -4 -2 -1 0 1 2 [3]
32;Ge;Germanium;Германий;14;4;72,63;5,323;1211,4;3106;0,32;2,01;[-4] -3 -2 -1 0 1 [2] 3 [4]
33;As;Arsenic;Мышьяк;15;4;74,921595;5,776;1090 ;887;0,329;2,18;[-3] -2 -1 0 1 2 [3] 4 [5]
34;Se;Selenium;Селен;16;4;78,971;4,809;453;958;0,321;2,55;[-2] -1 0 1 [2] 3 [4] 5 [6]
35;Br;Bromine;Бром;17;4;79,904;3,122;265,8;332;0,474;2,96;[-1] 0 [1] [3] 4 [5] 7
36;Kr;Krypton;Криптон;18;4;83,798;0,003733;115,79;119,93;0,248;3;0 [2]
37;Rb;Rubidium;Рубидий;1;5;85,4678;1,532;312,46;961;0,363;0,82;-1 0 [1]
38;Sr;Strontium;Стронций;2;5;87,62;2,64;1050;1655;0,301;0,95;0 1 [2]
39;Y;Yttrium;Иттрий;3;5;88,90584;4,469;1799;3609;0,298;1,22;0 1 2 [3]
40;Zr;Zirconium;Цирконий;4;5;91,224;6,506;2128;4682;0,278;1,33;-2 0 1 2 3 [4]
41;Nb;Niobium;Ниобий;5;5;92,90637;8,57;2750;5017;0,265;1,6;-3 -1 0 1 2 3 4 [5]
42;Mo;Molybdenum;Молибден;6;5;95,95;10,22;2896;4912;0,251;2,16;-4 -2 -1 0 1 2 3 [4] 5 [6]
43;Tc;Technetium;Технеций;7;5;[98];11,5;2430;4538;–;1,9;-3 -1 0 1 2 3 [4] 5 6 [7]
44;Ru;Ruthenium;Рутений;8;5;101,07;12,37;2607;4423;0,238;2,2;-4 -2 0 1 2 [3] [4] 5 6 7 8
45;Rh;Rhodium;Родий;9;5;102,9055;12,41;2237;3968;0,243;2,28;-3 -1 0 1 2 [3] 4 5 6
46;Pd;Palladium;Палладий;10;5;106,42;12,02;1828,05;3236;0,244;2,2;0 1 [2] 3 [4]
47;Ag;Silver;Серебро;11;5;107,8682;10,501;1234,93;2435;0,235;1,93;-2 -1 0 [1] 2 3
48;Cd;Cadmium;Кадмий;12;5;112,414;8,69;594,22;1040;0,232;1,69;-2 0 1 [2]
49;In;Indium;Индий;13;5;114,818;7,31;429,75;2345;0,233;1,78;-5 -2 -1 0 1 2 [3]
50;Sn;Tin;Олово;14;5;118,71;7,287;505,08;2875;0,228;1,96;[-4] -3 -2 -1 0 1 [2] 3 [4]
51;Sb;Antimony;Сурьма;15;5;121,76;6,685;903,78;1860;0,207;2,05;[-3] -2 -1 0 1 2 [3] 4 [5]
52;Te;Tellurium;Теллур;16;5;127,6;6,232;722,66;1261;0,202;2,1;[-2] -1 0 1 [2] 3 [4] 5 [6]
53;I;Iodine;Иод;17;5;126,90447;4,93;386,85;457,4;0,214;2,66;[-1] 0 [1] [3] 4 [5] 6 [7]
54;Xe;Xenon;Ксенон;18;5;131,293;0,005887;161,4;165,03;0,158;2,6;0 [2] [4] [6] 8
55;Cs;Caesium;Цезий;1;6;132,905452;1,873;301,59;944;0,242;0,79;-1 0 [1]
56;Ba;Barium;Барий;2;6;137,327;3,594;1000;2170;0,204;0,89;0 1 [2]
57;La;Lanthanum;Лантан;3;6;138,90547;6,145;1193;3737;0,195;1,1;0 1 2 [3]
58;Ce;Cerium;Церий;–;6;140,116;6,77;1068;3716;0,192;1,12;0 2 [3] [4]
59;Pr;Praseodymium;Празеодим;–;6;140,90766;6,773;1208;3793;0,193;1,13;0 2 [3] 4 5
60;Nd;Neodymium;Неодим;–;6;144,242;7,007;1297;3347;0,19;1,14;0 2 [3] 4
61;Pm;Promethium;Прометий;–;6;[145];7,26;1315;3273;–;1,13;0 2 [3]
62;Sm;Samarium;Самарий;–;6;150,36;7,52;1345;2067;0,197;1,17;0 2 [3]
63;Eu;Europium;Европий;–;6;151,964;5,243;1099;1802;0,182;1,2;0 [2] [3]
64;Gd;Gadolinium;Гадолиний;–;6;157,25;7,895;1585;3546;0,236;1,2;0 1 2 [3]
65;Tb;Terbium;Тербий;–;6;158,92535;8,229;1629;3503;0,182;1,2;0 1 2 [3] 4
66;Dy;Dysprosium;Диспрозий;–;6;162,5;8,55;1680;2840;0,17;1,22;0 2 [3] 4
67;Ho;Holmium;Гольмий;–;6;164,93033;8,795;1734;2993;0,165;1,23;0 2 [3]
68;Er;Erbium;Эрбий;–;6;167,259;9,066;1802;3141;0,168;1,24;0 2 [3]
69;Tm;Thulium;Тулий;–;6;168,93422;9,321;1818;2223;0,16;1,25;0 2 [3]
70;Yb;Ytterbium;Иттербий;–;6;173,045;6,965;1097;1469;0,155;1,1;0 2 [3]
71;Lu;Lutetium;Лютеций;–;6;174,9668;9,84;1925;3675;0,154;1,27;0 2 [3]
72;Hf;Hafnium;Гафний;4;6;178,49;13,31;2506;4876;0,144;1,3;-2 0 1 2 3 [4]
73;Ta;Tantalum;Тантал;5;6;180,94788;16,654;3290;5731;0,14;1,5;-3 -1 0 1 2 3 4 [5]
74;W;Tungsten;Вольфрам;6;6;183,84;19,25;3695;5828;0,132;2,36;-4 -2 -1 0 1 2 3 [4] 5 [6]
75;Re;Rhenium;Рений;7;6;186,207;21,02;3459;5869;0,137;1,9;-3 -1 0 1 2 3 [4] 5 6 7
76;Os;Osmium;Осмий;8;6;190,23;22,61;3306;5285;0,13;2,2;-4 -2 -1 0 1 2 3 [4] 5 6 7 8
77;Ir;Iridium;Иридий;9;6;192,217;22,56;2719;4701;0,131;2,2;-3 -1 0 1 2 [3] [4] 5 6 7 8 9
78;Pt;Platinum;Платина;10;6;195,084;21,46;2041,4;4098;0,133;2,28;-3 -2 -1 0 1 [2] 3 [4] 5 6
79;Au;Gold;Золото;11;6;196,966569;19,282;1337,33;3129;0,129;2,54;-3 -2 -1 0 1 2 [3] 5
80;Hg;Mercury;Ртуть;12;6;200,592;13,5336;234,43;629,88;0,14;2;-2 0 [1] [2]
81;Tl;Thallium;Таллий;13;6;204,38;11,85;577;1746;0,129;1,62;-5 -2 -1 0 [1] 2 [3]
82;Pb;Lead;Свинец;14;6;207,2;11,342;600,61;2022;0,129;1,87;-4 -2 -1 0 1 [2] 3 [4]
83;Bi;Bismuth;Висмут;15;6;208,9804;9,807;544,7;1837;0,122;2,02;-3 -2 -1 0 1 2 [3] 4 5
84;Po;Polonium;Полоний;16;6;[209];9,32;527;1235;–;2;[-2] 0 [2] [4] 5 6
85;At;Astatine;Астат;17;6;[210];7;575;610;–;2,2;[-1] 0 [1] 3 5 7
86;Rn;Radon;Радон;18;6;[222];0,00973;202;211,3;0,094;2,2;0 [2] 6
87;Fr;Francium;Франций;1;7;[223];1,87;300;950;–;0,7;0 [1]
88;Ra;Radium;Радий;2;7;[226];5,5;973;2010;0,094;0,9;0 [2]
89;Ac;Actinium;Актиний;3;7;[227];10,07;1323;3471;0,12;1,1;0 [3]
90;Th;Thorium;Торий;–;7;232,0377;11,72;2115;5061;0,113;1,3;0 1 2 3 [4]
91;Pa;Protactinium;Протактиний;–;7;231,03588;15,37;1841;4300;–;1,5;0 3 4 [5]
92;U;Uranium;Уран;–;7;238,02891;18,95;1405,3;4404;0,116;1,38;0 1 2 3 4 5 [6]
93;Np;Neptunium;Нептуний;–;7;[237];20,45;917;4273;–;1,36;0 2 3 4 [5] 6 7
94;Pu;Plutonium;Плутоний;–;7;[244];19,84;912,5;3501;–;1,28;0 2 3 [4] 5 6 7
95;Am;Americium;Америций;–;7;[243];13,69;1449;2880;–;1,13;0 2 [3] 4 5 6 7
96;Cm;Curium;Кюрий;–;7;[247];13,51;1613;3383;–;1,28;0 [3] 4 6
97;Bk;Berkelium;Берклий;–;7;[247];14,79;1259;2900;–;1,3;0 [3] 4
98;Cf;Californium;Калифорний;–;7;[251];15,1;1173;-1743;–;1,3;0 2 [3] 4
99;Es;Einsteinium;Эйнштейний;–;7;[252];8,84;1133;-1269;–;1,3;0 2 [3] 4
100;Fm;Fermium;Фермий;–;7;[257];-9,7;-1125;–;–;1,3;0 2 [3]
101;Md;Mendelevium;Менделевий;–;7;[258];-10,3;-1100;–;–;1,3;0 2 [3]
102;No;Nobelium;Нобелий;–;7;[259];-9,9;-1100;–;–;1,3;0 [2] 3
103;Lr;Lawrencium;Лоуренсий;–;7;[266];-15,6;-1900;–;–;1,3;0 [3]
104;Rf;Rutherfordium;Резерфордий;4;7;[267];-23,2;-2400;-5800;–;–;0 [4]
105;Db;Dubnium;Дубний;5;7;[268];-29,3;–;–;–;–;0 [5]
106;Sg;Seaborgium;Сиборгий;6;7;[269];-35;–;–;–;–;0 [6]
107;Bh;Bohrium;Борий;7;7;[270];-37,1;–;–;–;–;0 [7]
108;Hs;Hassium;Хассий;8;7;[277];-40,7;–;–;–;–;0 [8]
109;Mt;Meitnerium;Мейтнерий;9;7;[278];-37,4;–;–;–;–;0
110;Ds;Darmstadtium;Дармштадтий;10;7;[281];-34,8;–;–;–;–;0
111;Rg;Roentgenium;Рентгений;11;7;[282];-28,7;–;–;–;–;0
112;Cn;Copernicium;Коперниций;12;7;[285];-23,7;–;~357;–;–;0 [2]
113;Nh;Nihonium;Нихоний;13;7;[286];-16;-700;-1400;–;–;0
114;Fl;Flerovium;Флеровий;14;7;[289];-14;–;~210;–;–;0
115;Mc;Moscovium;Московий;15;7;[290];-13,5;-700;-1400;–;–;0
116;Lv;Livermorium;Ливерморий;16;7;[293];-12,9;-709;-1085;–;–;0
117;Ts;Tennessine;Теннессин;17;7;[294];-7,2;-723;-883;–;–;0
118;Og;Oganesson;Оганесон;18;7;[294];-5;–;-350;–;–;0
